,raceid,label,start,end
0,2021041700105,T001FRV,16020,16255
5,2023010100106,T001FRV,8425,9155
6,2023091700108,T001LEFT,6845,7135
18,2023090900105,T001FRV,6565,6780
25,2022112000104,T001FLV,5545,5880
93,2023021300101,T001FLV,6730,7140
100,2021121500102,T001FRV,7855,8145
106,2023010300103,T001FRV,7575,7775
119,2024010900101,T001FRV,13585,14050
120,2021112700108,T001FRV,13930,14500
121,2022122700107,T001FRV,6890,7320
122,2023021300101,T001FRV,5960,6685
123,2021112700108,T001FRV,12680,13175
132,2022010200106,T001LEFT,18680,18960
140,2022010200106,T001LEFT,17110,17400
144,2022100400105,T001FRV,9855,10245
158,2023060900105,T001FRV,16145,16420
164,2023060900105,T001FRV,9615,9870
167,2023060900105,T001FRV,15125,15540
171,2023060900105,T001FRV,8900,9170
181,2022100400105,T001FRV,9700,9855
183,2022060900104,T001FRV,10410,10700
187,2021120900105,T001FRV,10515,10905
196,2022083100108,T001FR,11290,11640
200,2022083100108,T001FR,10230,10660
204,2021110800105,T001FR,7270,7670
208,2022062100107,T001FR,8035,8635
213,2022062100107,T001FR,6375,6600
218,2022062100107,T001FR,7280,7515
224,2021121000107,T001FR,7935,8255
250,2021112100104,T001FLV,12090,12630
252,2021112100104,T001FLV,12335,12645
255,2021112100104,T001FLV,16205,16260
260,2023021900102,T001FR,5950,6345
272,2021110300108,T001FRV,11305,11800
279,2022053100107,T001FRV,20805,21345
284,2021052800107,T001FRV,6955,7500
308,2022040800103,T001FRV,7960,8475
312,2023110300101,T001FRV,7795,8150
333,2023112800105,T001RIGHT,9565,9835
349,2023012400107,T001FR,16720,17130
380,2023122000101,T001FRV,8915,9350
383,2023030200101,T001FRV,5540,5870
396,2023011800104,T001FRV,11300,11795
404,2023011800104,T001FRV,10410,10745
413,2022030300105,T001FRV,6625,6925
418,2022030300105,T001FRV,7735,8150
423,2022110700102,T001FRV,10080,10390
429,2022110700102,T001FRV,11065,11530
439,2024011800106,T001FRV,6525,7035
446,2022022500101,T001FRV,6370,6685
450,2022022500101,T001FRV,8640,9245
456,2022022500101,T001FRV,10750,11250
460,2021090300101,T001FRV,16900,17450
464,2021090300101,T001FRV,14095,14500
472,2022082900103,T001FR,6365,6595
473,2022082900103,T001FR,6600,6795
476,2022061100103,T001FRV,9375,9830
487,2023121500108,T001FRV,10960,11380
498,2023121500108,T001FRV,6080,6560
508,2021112100104,T001FLV,15820,15930
512,2021110500103,T001FRV,8480,8865
526,2021110500105,T001FR,8990,9120
527,2023120500108,T001FR,16625,16995
537,2021110500105,T001FR,7220,7305
546,2023020200103,T001FRV,7415,7730
549,2021110900107,T001FRV,15395,15750
554,2021110900107,T001FRV,11930,12370
561,2023120500108,T001FR,10235,10425
568,2021110900107,T001FRV,13075,13395
572,2021110900107,T001FRV,9260,9470
576,2021110900107,T001FRV,10220,10765
584,2021110900107,T001FRV,14185,14545
591,2022102800102,T001FRV,5670,5910
595,2023120500108,T001FR,18800,19000
596,2023062000102,T001FRV,7750,8150
601,2023062000102,T001FRV,8725,9005
612,2021112600103,T001FRV,7405,7920
616,2023120500108,T001FR,15930,16145
624,2021112200101,T001FRV,8985,9255
628,2021112200101,T001FRV,7705,7935
632,2022051800102,T001FRV,7435,7990
640,2022062600102,T001FR,13745,14065
644,2022022100103,T001FR,6650,6985
649,2022022100103,T001FR,9500,9595
653,2023083000101,T001FRV,7380,7635
658,2022122300103,T001FR,8755,9075
668,2024020600107,T001FRV,7545,7965
678,2024020600107,T001FRV,6565,6845
683,2023062300105,T001FRV,7350,7780
687,2023062300105,T001FRV,6490,6820
690,2023010500105,T001FRV,6455,6560
694,2023010500105,T001FRV,5520,5870
701,2022111800101,T001FRV,7380,7685
705,2023011500102,T001FRV,13215,13535
709,2023011500102,T001FRV,14175,14510
713,2023012100109,T001FRV,10145,10480
725,2021100100103,T001FR,9580,10075
726,2021100100103,T001FR,10080,10330
967,2023061300106,T001FRV,7785,7865
969,2024012000106,T001FRV,7435,7790
973,2022111700105,T001FRV,8405,8775
985,2022111700105,T001FRV,8370,8430
991,2024013000102,T001FRV,7220,7285
993,2024013000102,T001FRV,8160,8580
1003,2023102000106,T001FRV,6120,6450
1008,2021051800102,T001FRV,14975,15400
1151,2022010400103,T001FRV,21420,21630
1157,2022010400103,T001FRV,21395,21565
1173,2022010400103,T001FRV,16910,17040
1178,2022010400103,T001FRV,17980,18450
1184,2022010400103,T001FRV,19980,20125
1218,2021091100106,T001FRV,7860,8020
1519,2021100100103,T001FR,8685,8760
1529,2022022700109,T001LEFT,20380,20650
1535,2022010100102,T001FRV,8610,9020
1544,2022010100102,T001FRV,8600,8710
1546,2022092500106,T001FRV,14680,15090
1558,2023050600106,T001FRV,6195,6260
1566,2021061100104,T001FRV,11365,11685
1599,2021041700106,T001FR,21645,21655
1603,2021061800103,T001FRV,7315,7485
1611,2021101200102,T001FR,31140,31285
1629,2023121100107,T001FRV,7440,7830
1633,2022041600104,T001FRV,8215,8670
1646,2022021700106,T001FRV,13210,13650
1652,2023110900103,T001FRV,7310,7400
1661,2023120600104,T001FRV,8795,8840
1670,2023120600104,T001FRV,10500,10605
1679,2022121100104,T001FLV,8640,8820
1687,2022121100104,T001FLV,5975,7190
1695,2023010500108,T001FRV,6260,6290
1698,2021110900101,T001FR,7145,7470
1703,2021110900101,T001FR,7085,7160
1745,2022061100107,T001FR,7065,7415
1749,2021121000101,T001FRV,8745,9225
1757,2023092200103,T001FRV,9655,10100
1762,2023092200103,T001FRV,9655,9740
1769,2023092200103,T001FRV,7945,8070
1770,2023092200103,T001FRV,6980,7040
1771,2023092200103,T001FRV,6225,6315
1779,2023112300104,T001FRV,7945,8005
1782,2023122500105,T001FRV,6175,6570
1786,2022051800107,T001FRV,16875,17460
1795,2021101900105,T001FRV,16390,16685
1799,2022042200102,T001FRV,6590,7010
1803,2021111100107,T001FRV,13620,14025
1807,2024021800107,T001FRV,9085,9415
1811,2024021800107,T001FRV,9975,10220
1815,2024012800101,T001FRV,6590,6860
1822,2021112700106,T001FRV,7590,8060
1827,2021112700106,T001FRV,10640,10955
1831,2021120800108,T001FRV,17545,17945
1837,2021120800108,T001FRV,17435,17500
1838,2022050300102,T001FRV,7000,7380
1842,2023050600105,T001FRV,7100,7395
1860,2022122900103,T001FR,5450,5725
1872,2023050600105,T001FRV,13610,13720
1879,2023050600105,T001FRV,14535,14970
1887,2021112700108,T001FRV,12580,12675
1921,2021120400103,T001FRV,9765,10200
1932,2023110300105,T001FR,9585,9945
1940,2023110300105,T001FR,7155,7355
1944,2022012900107,T001FRV,7540,7810
1954,2023090100104,T001FRV,7470,7700
2143,2021112700109,T001FR,17100,17475
2160,2023012800109,T001FRV,19370,19660
2168,2023012400108,T001BACK,18755,18860
2172,2023012400108,T001FR,18865,19060
2182,2023121100105,T001FRV,7490,7680
2184,2023121100105,T001FRV,9755,10050
2192,2021051500109,T001FLV,6570,7175
2196,2022090300106,T001FRV,15305,15610
2202,2023110700108,T001FRV,13965,14165
2203,2022060900106,T001FRV,7770,7795
2211,2022011500105,T001FRV,9005,9140
2212,2022112600102,T001FRV,9770,9800
2215,2022090300109,T001FRV,10685,10745
2218,2022120600102,T001FR,8755,9010
2223,2022021700107,T001FRV,7335,7745
2227,2023121900104,T001FRV,7205,7405
2239,2023122500104,T001FRV,7390,7455
2250,2022121200106,T001FRV,21045,21410
2264,2022121200106,T001FRV,22835,22860
2295,2022121200106,T001FRV,20150,20265
2300,2022121200106,T001FRV,25315,25750
2308,2022121200106,T001FRV,26535,26895
2335,2023012900105,T001FRV,9510,9630
2342,2024011700105,T001FRV,6560,6965
2346,2024011700105,T001FRV,7380,7505
2352,2024011700105,T001FRV,15925,16165
2362,2023013000104,T001FR,13040,13145
2379,2021082500102,T001FRV,6950,7165
2425,2024010400107,T001FR,6415,6730
2429,2022102100104,T001FRV,5410,5810
2436,2023110900105,T001FRV,7645,8095
2441,2024012000107,T001FRV,6125,6425
2450,2022020700107,T001FRV,11070,11575
2459,2022020700107,T001FRV,11045,11120
2476,2023022800106,T001FRV,6000,6340
2483,2023121400106,T001FRV,6555,7005
2490,2021111900105,T001FR,6625,7000
2511,2024012000109,T001FR,7020,7365
2559,2021060400101,T001FRV,6865,7230
2571,2024021800101,T001FRV,6940,7320
2579,2022111300106,T001FRV,8300,8500
2591,2023122300105,T001FRV,17850,18255
2599,2023122300105,T001FRV,17725,17895
2607,2024010200101,T001FRV,8750,8840
2608,2024010200101,T001FRV,11245,11340
2610,2023082800102,T001FR,7005,7065
2613,2023082800102,T001FR,8700,8765
2616,2023012100108,T001FRV,10420,10465
2619,2023012100108,T001FRV,9395,9515
2622,2021112300104,T001FRV,11905,12005
2626,2021112300104,T001FRV,7695,7780
2630,2021112300104,T001FRV,10925,10975
2633,2022041900105,T001FRV,13835,14280
2637,2023122300101,T001FR,8360,8480
2641,2022021400107,T001FRV,18595,19045
2645,2024010400106,T001FRV,7690,8035
2652,2021082100106,T001FRV,9970,10340
2657,2021082100106,T001FRV,6975,7115
2661,2021123000101,T001FRV,6825,7220
2665,2023012200107,T001FR,10070,10360
2669,2023012200107,T001FR,9960,10065
2675,2022052400104,T001FR,6535,6995
2697,2023011400108,T001FRV,12895,13260
2704,2023011400108,T001FRV,11985,12080
2706,2023110200106,T001FRV,6915,7200
2772,2021090300107,T001FR,6550,7015
2777,2021121600104,T001FLV,10920,11335
2781,2023060200103,T001FRV,7785,7930
2787,2022121000103,T001FRV,7800,8120
2791,2021060800105,T001FRV,8985,9195
2798,2022030300103,T001FR,7500,7595
2803,2023021600102,T001FR,5620,6785
2804,2021112700108,T001FRV,16151,16900
2805,2024010900101,T001FRV,6965,7140
2806,2024010900101,T001FRV,7965,8105
2807,2022030300103,T001FR,13315,13690
2812,2022030300103,T001FR,12125,12590
2816,2023122000101,T001FRV,10220,10330
2818,2022030300103,T001FR,13250,13295
2823,2023122000101,T001FRV,7785,8195
2828,2023011900108,T001FRV,19455,19610
2829,2023111400107,T001FR,13190,13455
2831,2024021900104,T001FRV,6935,7315
2835,2023111300101,T001FRV,12680,12735
2839,2023111300101,T001FRV,7040,7550
2845,2021112300104,T001FRV,9100,9585
2848,2022121200106,T001FRV,19330,19900
2850,2023111400107,T001FR,7775,7965
2861,2023110300105,T001FR,6050,6340
2871,2023111400107,T001FR,15880,16060
2874,2023092600107,T001FR,8970,9290
2880,2023111300101,T001FRV,12450,12505
2881,2023092600107,T001FR,9975,10205
2885,2023092600107,T001FR,6545,6780
2889,2023111300101,T001FRV,7040,7110
2890,2023111300101,T001FRV,8220,8550
2894,2023111300101,T001FRV,10290,10695
2901,2023111300101,T001FRV,13515,13945
2905,2022123000104,T001FRV,9345,9680
2907,2024021600102,T001FR,7840,8210
2914,2023010500103,T001FR,5645,5900
2924,2022022000106,T001FRV,10630,11130
2931,2022012500107,T001FRV,7260,7665
2936,2023021600103,T001FR,5495,6915
2940,2023021600103,T001FR,7850,8215
2945,2024010800101,T001FRV,6290,6610
2950,2022012400108,T001FR,8820,9240
2958,2022012400108,T001FR,8795,8865
2968,2023121300106,T001FRV,6150,6530
2977,2023050200101,T001FRV,8015,8120
2978,2023050200101,T001FRV,8980,9410
2986,2023050200101,T001FRV,6860,6955
3005,2022090600107,T001FR,33200,33505
3027,2022032600104,T001FRV,9935,10345
3040,2024021100107,T001FRV,7925,8065
3043,2024021100107,T001FRV,8725,8805
3085,2024020600101,T001FRV,7830,7865
3101,2024011800108,T001FRV,8245,8515
3110,2022101800107,T001FRV,13525,13700
3119,2022101800107,T001FRV,14555,14935
3130,2021060400107,T001FR,12480,12695
3151,2024020900101,T001FR,22330,22685
3198,2024020900101,T001FR,25775,25885
3205,2021092400102,T001FRV,16500,16570
3235,2021061200108,T001FRV,16915,17135
3236,2021061200108,T001FRV,14250,14825
3248,2021061200108,T001FRV,12130,12695
3258,2023021400103,T001FRV,6115,6385
3270,2022051000105,T001FRV,10465,10765
3282,2021091900108,T001FRV,16105,16150
3287,2021091900108,T001LEFT,14600,14880
3291,2022020700101,T001FRV,10330,10630
3299,2022011000101,T001FRV,8440,8880
3303,2022090200107,T001FR,5690,5980
3310,2023052600104,T001FRV,6715,7210
3315,2023010200104,T001FRV,10735,10830
3317,2023010200104,T001FRV,11965,12180
3321,2023010200104,T001FRV,9825,9895
3324,2023030400107,T001FRV,6875,7000
3329,2023062500104,T001FRV,8775,9090
3331,2023062500104,T001FRV,6610,7095
3335,2022021500102,T001FR,10725,11100
3340,2023092900101,T001FRV,7295,7350
3343,2023123000107,T001FRV,6495,7010
3349,2022013100101,T001FRV,7350,7990
3462,2023012300106,T001FR,6915,7300
3470,2023012300106,T001FR,8205,8605
3476,2024011300104,T001FRV,16425,16850
3486,2024011300104,T001FRV,13910,14355
3491,2024011300104,T001FRV,11250,11680
3501,2022052700104,T001FRV,8030,8610
3507,2022052700104,T001FRV,7035,7465
3511,2022052700104,T001FRV,7055,7180
3513,2022052700104,T001FRV,9570,9945
3529,2022112400101,T001FRV,8885,9250
3573,2022112400101,T001FRV,6845,7370
3577,2022112400101,T001FRV,9740,10190
3596,2024012700109,T001FRV,6740,7080
